"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HIST1H2BI",1.2142535,9.69622758333333,6.87795599912049,3.69218049212331e-05,0.00930429484015074,2.68107840469289
"NEK6",1.56458983333333,13.57651625,6.86292873978409,3.76237114043933e-05,0.00935697865853839,2.66321765610693
"STARD8",0.608200500000001,10.5867644166667,6.85890143127938,3.78142578955442e-05,0.00935697865853839,2.65842539969893
"COBL",3.14059745,4.223177025,6.80260384448628,4.0589691935952e-05,0.00985262037585752,2.59118739284132
"SYCE3",1.4556729,5.71745628333333,6.79896008305861,4.07767422313706e-05,0.00985262037585752,2.58681959675965
"MRAS",1.51799158333334,11.2043812083333,6.78732464215859,4.13802879744298e-05,0.00990051420863188,2.57285912991586
"CXXC5",0.994578500000003,13.2524524166667,6.76038103562411,4.28151743996321e-05,0.0101073339289614,2.54045544668769
"CBX1",-0.932267499999999,10.8975909166667,-6.7531454939244,4.32095748272722e-05,0.0101421514034573,2.53173549407856
"KCTD9",1.00839583333333,7.12903546666667,6.74010390251533,4.39303798472625e-05,0.010194826455402,2.51599892063871
"DCUN1D4",-1.01014308333333,7.13739885833334,-6.71379907325017,4.54239746350339e-05,0.0104236602352439,2.48418216901826
"ALAS1",1.42474366666667,12.3751561666667,6.69911263120788,4.62816035802252e-05,0.0105031113185709,2.46637395003635
"HIST1H2BN",1.17167441666667,9.78913229166667,6.6847416074989,4.71377234422501e-05,0.0106386215830432,2.44891735925648
"C22orf37",-3.27290935,3.681082825,-6.67046531484355,4.80051162283547e-05,0.0107751811704694,2.43154559640347
"HIF1A",-1.52625825,10.5623109583333,-6.66333673398819,4.84446542441781e-05,0.010814742487684,2.42286005826204
"SPATA24",-2.03461305,3.01160709166667,-6.65873723338267,4.87305525408396e-05,0.0108197631144191,2.41725198135527
"BRP44",0.899995666666669,13.4651925,6.6526082574252,4.9114348731209e-05,0.010832620967394,2.40977417173908
"CCND2",3.5411555,9.42983491666667,6.64941015879099,4.93159051734023e-05,0.010832620967394,2.40587003957643
"HNMT",-1.33906491666667,11.230047875,-6.62127450759258,5.11280076702056e-05,0.011053337068744,2.37145751133108
"CADM1",-4.85881508333333,5.138103975,-6.61403279572051,5.16059335369065e-05,0.011078996925929,2.36258117477376
"NISCH",-2.42279725,10.719762375,-6.60105137375464,5.24747439448735e-05,0.0111261750163992,2.34664999348646
"RIN2",-0.991746499999998,10.9100885,-6.59996153896103,5.25483969515399e-05,0.0111261750163992,2.34531137371111
"RGNEF",3.22644033333333,5.08196986666667,6.59527051577944,5.28666980309351e-05,0.0111361666067625,2.33954747287192
"ERO1LB",-0.898213366666666,6.351055,-6.58546241941892,5.35389376324771e-05,0.01116242556279,2.32748557305919
"CRHBP",-4.37751285,4.595016075,-6.58159390636455,5.3806608760162e-05,0.01116242556279,2.3227241655556
