"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cldn18",0.530986,8.332667,2.86261746694063,0.0125427296149805,0.0520253670111498,-3.86065297254782
"Fam213b",0.292768,6.922546,2.86258113926563,0.012543628522818,0.0520253670111498,-3.86072273587059
"Vmn1r149",-0.275138,4.880879,-2.86228511109969,0.0125509559277409,0.0520460368499374,-3.86129121710795
"Kcnh3",-0.314705999999999,7.724143,-2.86177396863874,0.0125636178058506,0.0520888157200745,-3.8622727602234
"Sapcd1",-0.211046,7.666435,-2.86143921274665,0.0125719170710204,0.052113494582617,-3.86291556516926
"Cdip1",-0.235706,8.416235,-2.86121680963987,0.0125774338583107,0.052126632373581,-3.86334261739883
"Rfxank",-0.327658,9.235661,-2.8605034111263,0.0125951459805938,0.0521805697995476,-3.86471240784117
"Cep97",-0.324926,7.044455,-2.86050333412795,0.0125951478936132,0.0521805697995476,-3.86471255568032
"Fbxo18",-0.386118,9.655043,-2.86040028661325,0.012597708358371,0.0521814422320438,-3.8649104090958
"Sac3d1",0.327548,8.226026,2.859603380767,0.0126175266507911,0.0522537853053836,-3.86644042344097
"Olfr954",-0.302316,5.642022,-2.85927950520773,0.0126255898606877,0.0522774283882961,-3.86706221497848
"Gm10272",-0.255672,8.680406,-2.85892359256223,0.0126344564916571,0.0523043886751933,-3.86774549194572
"Micall1",0.28064,7.26733,2.85871631933943,0.0126396229730396,0.0523160238097517,-3.86814340259718
"Cldn24",-0.273884,7.801518,-2.85845082487312,0.0126462436993538,0.052333672677572,-3.86865307204638
"Slc25a32",0.31717,7.580325,2.85829596982989,0.0126501069420564,0.0523399058608728,-3.86895034148763
"Msantd2",-0.251918,6.854103,-2.85790628273654,0.0126598337711619,0.0523703928320458,-3.86969839090335
"Zscan22",-0.251078,8.330483,-2.85761029109066,0.0126672268029756,0.0523912159409341,-3.87026656353077
"Txndc12",-0.257340000000001,10.52243,-2.85725989905531,0.0126759840722962,0.0524176726833163,-3.87093914117569
"Rd3",-0.241646,8.305237,-2.85667426704713,0.0126906338905065,0.052468481879089,-3.8720632145881
"Pcmtd1",-0.283242,8.899995,-2.85638965144766,0.0126977596542785,0.0524881703058283,-3.87260948982559
"Bnip1",0.557874,7.143053,2.8556520775997,0.0127162441382642,0.0525489048740062,-3.87402508239415
"Gm20346",-0.308464,8.630136,-2.85560404236132,0.0127174488731535,0.0525489048740062,-3.87411727101028
"Gm13308",-0.257184,7.820254,-2.85552021147681,0.0127195516390968,0.0525489048740062,-3.87427815721418
"Kif1b",-0.287106,8.526227,-2.85540200302874,0.0127225172912016,0.0525513800164476,-3.87450501793309
"Skp2",-0.230708,8.806018,-2.85458568887992,0.0127430157536999,0.0526262614518615,-3.87607158773169
"5730508B09Rik",0.344016,10.123692,2.85449059845513,0.0127454056729288,0.052626344063417,-3.87625406606034
"4930470P17Rik",-0.319524,5.397734,-2.85354679304272,0.012769150278464,0.0527145846967042,-3.87806514143319
"Ndufv2",0.271402000000001,10.259259,2.85301433217558,0.0127825652474685,0.0527601568560009,-3.87908681622647
"1700011M02Rik",-0.291628,7.115536,-2.85275989265442,0.0127889805441135,0.0527768262335223,-3.87957501202673
"Jakmip2",-0.288694,4.853005,-2.85264481577114,0.0127918830647634,0.0527789957889514,-3.87979580755415
"Ptrhd1",0.315042,7.460271,2.85245147596886,0.0127967610211729,0.0527893136236607,-3.88016675925398
"Mrpl3",0.442238000000001,8.958277,2.85214506790837,0.0128044954194515,0.0528041857351407,-3.88075463618381
"Gm9776",0.474462,7.139975,2.85197464347292,0.0128087992809185,0.0528095426721271,-3.88108160676607
"B630019K06Rik",-0.320586,6.319969,-2.85160175460516,0.0128182210794294,0.0528354053421433,-3.88179700111017
"Itgav",-0.226468,10.106106,-2.85153807095012,0.0128198308557808,0.0528354053421433,-3.88191917697969
"Gm20343",-0.260316,4.641108,-2.85097718010154,0.0128340174447906,0.0528840585227352,-3.8829952047088
"Nobox",0.271946,4.989889,2.85068318713729,0.0128414595400514,0.0528993883284761,-3.88355918656931
